domain,visits,pageviews,users,pageviews_per_session,avg_session_duration,exits
dla.mil,284479,598029,169234,2.10219032,185.824785,278249
share.america.gov,284479,423604,230490,1.489051916,72.21531642,284479
vaccines.gov,284479,832672,234643,2.927006914,74.41969706,284479
aspe.hhs.gov,282402,409068,264752,1.448530818,46.84198766,294861
idcf.bls.gov,282402,1507531,61256,5.338244772,488.2544777,286555
my.americorps.gov,282402,2506322,106939,8.875015049,458.5669294,282402
step.state.gov,282402,2295558,207649,8.12868889,479.2140211,265791
login.gov,280326,823328,287594,2.937037592,324.1888587,266829
usbr.gov,275135,1015403,171310,3.690562815,153.6866556,277211
cnrfc.noaa.gov,272020,623985,91366,2.293893831,85.25954709,276173
ftccomplaintassistant.gov,270982,2234302,207649,8.245204479,340.7430125,269944
starchild.gsfc.nasa.gov,268905,506663,256446,1.88417099,73.78386419,273058
explore.va.gov,267867,662400,231528,2.472868998,135.8217287,248140
ca.usembassy.gov,266829,698738,148469,2.618673383,189.789738,255408
prh.noaa.gov,265791,420489,111092,1.582028737,42.34758513,264752
climate.gov,262676,422565,232567,1.608692838,78.54540194,259561
passportappointment.travel.state.gov,262676,1132725,175463,4.312251595,223.4543925,253332
oig.hhs.gov,260599,686280,164043,2.633471349,202.741296,182731
ncjrs.gov,258523,422565,222184,1.634535419,102.5822654,258523
iase.disa.mil,255408,650979,146392,2.548780774,248.2805942,253332
cem.va.gov,254370,584532,209725,2.297959665,125.7795259,265791
salud.nih.gov,253332,309397,228414,1.221310375,48.30730425,252293
esd.whs.mil,250217,545078,191037,2.17842113,92.98336244,250217
mcrc.marines.mil,250217,315626,30109,1.261409097,127.4688211,243987
ers.usda.gov,249179,454751,206611,1.824997291,157.0081106,253332
nccd.cdc.gov,248140,1029938,221146,4.150632707,185.1090836,285517
nepis.epa.gov,248140,1240702,246064,5.00000806,128.20941,261638
forecast-v3.weather.gov,247102,374806,110054,1.516806825,179.1555754,219070
public-prod-elis2.uscis.dhs.gov,247102,836825,139125,3.386556968,373.811159,247102
studyinthestates.dhs.gov,247102,656170,167157,2.655462117,189.5757501,241911
fec.gov,245026,790104,106939,3.224572086,225.3047799,242949
in.usembassy.gov,243987,571034,183769,2.340427974,190.1918176,240873
de.usembassy.gov,242949,665515,170272,2.739319775,248.1625732,227376
osti.gov,242949,391418,192075,1.611111797,61.92312378,242949
consumidor.ftc.gov,241911,324970,214917,1.34334528,40.21028808,240873
ossi.nasa.gov,241911,2537469,86174,10.48926671,395.4934542,246064
edsitement.neh.gov,237758,330162,194152,1.38864728,118.6026001,233605
search.archives.gov,237758,477592,145354,2.008731567,71.48470293,220108
luke.af.mil,234643,334315,147431,1.424781477,148.7966016,231528
niaaa.nih.gov,234643,368577,223223,1.570799044,71.65051163,224261
aoprals.state.gov,232567,919884,140163,3.955350501,167.3971286,234643
fsa.usda.gov,230490,587646,146392,2.549550957,169.8560371,222184
catalog.archives.gov,229452,319779,196228,1.393664034,120.2081438,202458
volcanoes.usgs.gov,227376,864858,160928,3.803646823,472.4373461,230490
wwwnc.cdc.gov,227376,347812,198305,1.529677714,79.53407572,231528
locator.ice.gov,224261,306282,90327,1.365739027,73.94900139,241911
trumanlibrary.org,223223,514969,169234,2.306971056,144.0834233,223223
climatekids.nasa.gov,221146,728848,174425,3.29577745,227.0188292,221146
girlshealth.gov,221146,353003,204534,1.59624411,45.47888273,221146
jbsa.mil,218031,303167,204534,1.390476584,40.85243841,218031
blog.ed.gov,216993,270982,206611,1.248805261,78.77036126,213878
itrusteauth.nih.gov,215955,2729544,46721,12.63941099,125.9229747,275135
cfpub.epa.gov,214917,792180,181693,3.6859811,181.047958,213878
acquisition.gov,211802,719503,114207,3.397054796,187.5047686,211802
ar.usembassy.gov,211802,553384,129781,2.612742089,283.3576406,200381
eclkc.ohs.acf.hhs.gov,211802,799448,117322,3.774506379,292.3429288,199343
ferc.gov,211802,448522,118360,2.117647614,153.6175343,210764
move.mil,210764,397648,112130,1.886697918,212.1966465,206611
publichealth.va.gov,210764,389342,178578,1.847288911,126.3544438,212840
usdasearch.usda.gov,209725,340544,97595,1.623764453,107.7279056,195190
ars.usda.gov,204534,418412,175463,2.045684336,107.5279905,201419
bjs.gov,204534,1420318,170272,6.944165762,167.893514,204534
faq.usps.com,203496,1723486,1174254,8.469385148,37.98467292,1132725
ic3.gov,203496,450598,176502,2.21428431,111.4540237,203496
