,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,,minus,percent
POSSESSION OF STOLEN PROPERTY,2001,1907,1927,1972,2232,2670,2544,2398,1996,1614,1378,,-0.311344328,-31.13443278
PROSTITUTION & RELATED OFFENSES,21,67,56,45,51,44,55,45,92,78,62,,1.952380952,195.2380952
ROBBERY,13527,13307,14501,11801,13086,13866,14719,14623,13034,14032,13211,,-0.023360686,-2.336068604
SEX CRIMES,3,,,,,,2,6,6,11,35,,10.66666667,1066.666667
THEFT OF SERVICES,,10,25,30,130,120,359,372,289,348,298,,#DIV/0!,#DIV/0!
THEFT-FRAUD,3170,3282,3559,2832,3049,3322,3696,3167,3109,3058,2737,,-0.13659306,-13.65930599
UNAUTHORIZED USE OF A VEHICLE,800,855,817,796,934,965,1024,1179,1341,1360,1437,,0.79625,79.625
UNDER THE INFLUENCE OF DRUGS,,,,,,,,,1,1,,,#DIV/0!,#DIV/0!
UNLAWFUL POSS. WEAP. ON SCHOOL,6,2,4,5,4,4,2,6,3,1,3,,-0.5,-50
VEHICLE AND TRAFFIC LAWS,3033,2926,2966,3567,3837,3211,3270,3726,3592,4463,5036,,0.660402242,66.0402242
